case,case_duration_minutes,loan_success,duration_bin,duration_order,LoanOutcome
Application_1000086665,46923.25366666667,0,31.9 – 286.1 days,4,Fail
Application_1000158214,11567.573966666669,1,0.0 – 10.1 days,0,Success
Application_1000311556,44044.18813333334,0,25.2 – 31.9 days,3,Fail
Application_1000334415,19626.27718333333,0,10.1 – 15.1 days,1,Fail
Application_1000339879,18554.64068333333,1,10.1 – 15.1 days,1,Success
Application_100034150,16038.006066666663,1,10.1 – 15.1 days,1,Success
Application_1000386745,15807.46535,1,10.1 – 15.1 days,1,Success
Application_1000474975,18449.5611,1,10.1 – 15.1 days,1,Success
Application_1000557783,18361.05115,1,10.1 – 15.1 days,1,Success
Application_1000604502,48107.01498333333,0,31.9 – 286.1 days,4,Fail
Application_1000610355,38894.70111666666,0,25.2 – 31.9 days,3,Fail
Application_1000647090,43487.87146666667,0,25.2 – 31.9 days,3,Fail
Application_1000671285,12762.015833333331,1,0.0 – 10.1 days,0,Success
Application_1000691650,61687.32333333333,0,31.9 – 286.1 days,4,Fail
Application_1000806256,23173.04678333333,0,15.1 – 25.2 days,2,Fail
Application_1000856802,25321.60593333333,1,15.1 – 25.2 days,2,Success
Application_1000867366,12381.082716666666,1,0.0 – 10.1 days,0,Success
Application_1000956993,48807.57541666667,1,31.9 – 286.1 days,4,Success
Application_1001114274,41642.48445,1,25.2 – 31.9 days,3,Success
Application_1001177986,40924.181,1,25.2 – 31.9 days,3,Success
Application_1001274919,11941.307816666667,1,0.0 – 10.1 days,0,Success
Application_1001484676,28849.4471,1,15.1 – 25.2 days,2,Success
Application_1001624285,37447.11398333334,1,25.2 – 31.9 days,3,Success
Application_1001854554,45991.95081666667,0,25.2 – 31.9 days,3,Fail
Application_1001858108,13357.016133333333,1,0.0 – 10.1 days,0,Success
Application_1001866944,51578.549366666666,1,31.9 – 286.1 days,4,Success
Application_1002013470,31458.715083333333,0,15.1 – 25.2 days,2,Fail
Application_1002032547,45881.73221666667,0,25.2 – 31.9 days,3,Fail
Application_1002051388,28945.904866666664,0,15.1 – 25.2 days,2,Fail
Application_1002129113,64092.29918333333,1,31.9 – 286.1 days,4,Success
Application_1002324382,13961.289983333332,1,0.0 – 10.1 days,0,Success
Application_1002348901,45317.08636666667,0,25.2 – 31.9 days,3,Fail
Application_100239804,11610.905183333332,1,0.0 – 10.1 days,0,Success
Application_1002442935,50970.71981666666,0,31.9 – 286.1 days,4,Fail
Application_1002485344,137399.28111666665,0,31.9 – 286.1 days,4,Fail
Application_1002567868,9677.025816666666,0,0.0 – 10.1 days,0,Fail
Application_1002602375,25673.051516666663,1,15.1 – 25.2 days,2,Success
Application_1002626536,25365.19126666667,1,15.1 – 25.2 days,2,Success
Application_1002664914,44172.770983333336,0,25.2 – 31.9 days,3,Fail
Application_1002747267,10432.941033333334,0,0.0 – 10.1 days,0,Fail
Application_1002843616,24559.26938333333,1,15.1 – 25.2 days,2,Success
Application_1002961837,60496.39118333333,1,31.9 – 286.1 days,4,Success
Application_1002996676,48533.05043333334,0,31.9 – 286.1 days,4,Fail
Application_100305707,19951.167383333333,1,10.1 – 15.1 days,1,Success
Application_1003092772,17184.035883333334,0,10.1 – 15.1 days,1,Fail
Application_1003146166,44344.119216666666,0,25.2 – 31.9 days,3,Fail
Application_1003184938,15516.4069,1,10.1 – 15.1 days,1,Success
Application_1003213123,12872.6913,0,0.0 – 10.1 days,0,Fail
Application_1003239424,48624.59668333333,0,31.9 – 286.1 days,4,Fail
Application_1003257895,69251.03395,0,31.9 – 286.1 days,4,Fail
Application_1003264681,24403.38768333333,1,15.1 – 25.2 days,2,Success
Application_1003291296,46692.728233333335,0,31.9 – 286.1 days,4,Fail
Application_1003335792,46646.966,0,31.9 – 286.1 days,4,Fail
Application_1003444518,83457.60946666666,0,31.9 – 286.1 days,4,Fail
Application_1003445359,18143.8322,1,10.1 – 15.1 days,1,Success
Application_1003568418,48124.85343333333,0,31.9 – 286.1 days,4,Fail
Application_1003575962,49579.27728333334,0,31.9 – 286.1 days,4,Fail
Application_1003594594,45603.94415,0,25.2 – 31.9 days,3,Fail
Application_1003634925,43288.427866666665,1,25.2 – 31.9 days,3,Success
Application_1003639640,11606.27945,1,0.0 – 10.1 days,0,Success
Application_1003879772,108878.3481,1,31.9 – 286.1 days,4,Success
Application_1003896153,11863.7864,0,0.0 – 10.1 days,0,Fail
Application_1003963311,18536.05656666667,1,10.1 – 15.1 days,1,Success
Application_1004293292,15466.231816666666,1,10.1 – 15.1 days,1,Success
Application_1004303396,36012.55375,1,15.1 – 25.2 days,2,Success
Application_1004317586,12502.388166666668,0,0.0 – 10.1 days,0,Fail
Application_100433898,9930.59885,1,0.0 – 10.1 days,0,Success
Application_1004385970,14580.057533333336,1,10.1 – 15.1 days,1,Success
Application_1004515382,8965.287383333334,1,0.0 – 10.1 days,0,Success
