case,min,max,case_duration_minutes,loan_success,LoanGoal,LoanOutcome
Application_1000086665,2016-08-03 17:57:21.673,2016-09-05 08:00:36.893,46923.25366666667,0,"Other, see explanation",Fail
Application_1000158214,2016-06-02 12:14:26.844,2016-06-10 13:02:01.282,11567.573966666667,1,Home improvement,Success
Application_1000311556,2016-04-04 17:56:37.675,2016-05-05 08:00:48.963,44044.18813333334,0,Car,Fail
Application_1000334415,2016-09-15 18:39:17.758,2016-09-29 09:45:34.389,19626.277183333335,0,"Other, see explanation",Fail
Application_1000339879,2016-03-17 13:57:10.159,2016-03-30 11:11:48.600,18554.640683333335,1,Existing loan takeover,Success
Application_100034150,2016-02-26 09:17:08.702,2016-03-08 12:35:09.066,16038.006066666665,1,Existing loan takeover,Success
Application_1000386745,2016-11-25 15:31:09.852,2016-12-06 14:58:37.773,15807.46535,1,Car,Success
Application_1000474975,2016-06-16 17:37:24.412,2016-06-29 13:06:58.078,18449.5611,1,"Other, see explanation",Success
Application_1000557783,2016-03-09 20:08:45.338,2016-03-22 14:09:48.407,18361.05115,1,Home improvement,Success
Application_1000604502,2016-12-06 22:13:23.869,2017-01-09 08:00:24.768,48107.014983333334,0,"Other, see explanation",Fail
Application_1000610355,2016-11-30 09:30:06.392,2016-12-27 09:44:48.459,38894.70111666666,0,Not speficied,Fail
Application_1000647090,2016-02-28 10:54:37.548,2016-03-29 15:42:29.836,43487.87146666667,0,Existing loan takeover,Fail
Application_1000671285,2016-04-13 15:03:47.542,2016-04-22 11:45:48.492,12762.015833333333,1,Car,Success
Application_1000691650,2016-01-17 11:54:30.997,2016-02-29 08:01:50.397,61687.323333333334,0,"Other, see explanation",Fail
Application_1000806256,2016-06-01 11:03:46.811,2016-06-17 13:16:49.618,23173.046783333335,0,Existing loan takeover,Fail
Application_1000856802,2016-09-20 19:00:30.299,2016-10-08 09:02:06.655,25321.605933333332,1,Car,Success
Application_1000867366,2016-07-18 22:09:49.012,2016-07-27 12:30:53.975,12381.082716666666,1,Car,Success
Application_1000956993,2016-09-20 10:37:41.331,2016-10-24 08:05:15.856,48807.57541666667,1,Car,Success
Application_1001114274,2016-12-15 16:00:49.985,2017-01-13 14:03:19.052,41642.484449999996,1,Car,Success
Application_1001177986,2016-06-23 22:11:52.218,2016-07-22 08:16:03.078,40924.181,1,Existing loan takeover,Success
Application_1001274919,2016-05-02 10:26:05.733,2016-05-10 17:27:24.202,11941.307816666667,1,Car,Success
Application_1001484676,2016-12-07 10:19:29.974,2016-12-27 11:08:56.800,28849.447099999998,1,Home improvement,Success
Application_1001624285,2016-04-15 12:10:06.296,2016-05-11 12:17:13.135,37447.11398333334,1,Existing loan takeover,Success
Application_1001854554,2016-08-24 09:28:22.829,2016-09-25 08:00:19.878,45991.95081666667,0,Car,Fail
Application_1001858108,2016-08-15 10:13:41.345,2016-08-24 16:50:42.313,13357.016133333333,1,Unknown,Success
Application_1001866944,2016-08-17 13:07:35.380,2016-09-22 08:46:08.342,51578.549366666666,1,Car,Success
Application_1002013470,2016-03-29 18:19:21.219,2016-04-20 14:38:04.124,31458.715083333333,0,Home improvement,Fail
Application_1002032547,2016-03-10 11:18:44.920,2016-04-11 08:00:28.853,45881.73221666667,0,"Other, see explanation",Fail
Application_1002051388,2016-02-24 07:52:17.709,2016-03-15 10:18:12.001,28945.904866666664,0,Home improvement,Fail
Application_1002129113,2016-09-09 20:35:15.785,2016-10-24 08:47:33.736,64092.29918333333,1,Home improvement,Success
Application_1002324382,2016-05-30 18:14:44.708,2016-06-09 10:56:02.107,13961.289983333332,1,Home improvement,Success
Application_1002348901,2016-03-15 20:57:05.452,2016-04-16 08:14:10.634,45317.08636666667,0,Car,Fail
Application_100239804,2016-08-18 12:54:23.870,2016-08-26 14:25:18.181,11610.905183333332,1,Caravan / Camper,Success
Application_1002442935,2016-06-23 22:29:32.748,2016-07-29 08:00:15.937,50970.719816666664,0,Existing loan takeover,Fail
Application_1002485344,2016-01-16 23:57:37.903,2016-04-21 09:56:54.770,137399.28111666665,0,Car,Fail
Application_1002567868,2016-12-16 17:15:51.490,2016-12-23 10:32:53.039,9677.025816666666,0,Car,Fail
Application_1002602375,2016-12-01 18:35:08.698,2016-12-19 14:28:11.789,25673.051516666666,1,Home improvement,Success
Application_1002626536,2016-08-11 21:19:33.682,2016-08-29 12:04:45.158,25365.19126666667,1,Existing loan takeover,Success
Application_1002664914,2016-02-18 15:47:30.950,2016-03-20 08:00:17.209,44172.770983333336,0,Unknown,Fail
Application_1002747267,2016-10-10 10:27:48.557,2016-10-17 16:20:45.019,10432.941033333334,0,Home improvement,Fail
Application_1002843616,2016-06-21 13:10:30.456,2016-07-08 14:29:46.619,24559.269383333332,1,Unknown,Success
Application_1002961837,2016-09-19 13:22:00.198,2016-10-31 13:38:23.669,60496.39118333333,1,Existing loan takeover,Success
Application_1002996676,2016-02-19 15:07:16.599,2016-03-24 08:00:19.625,48533.05043333334,0,Home improvement,Fail
Application_100305707,2016-02-12 19:28:18.495,2016-02-26 15:59:28.538,19951.167383333333,1,Existing loan takeover,Success
Application_1003092772,2016-04-22 17:13:55.735,2016-05-04 15:37:57.888,17184.035883333334,0,Car,Fail
Application_1003146166,2016-12-15 12:56:20.222,2017-01-15 08:00:27.375,44344.119216666666,0,Car,Fail
Application_1003184938,2016-02-11 16:39:49.170,2016-02-22 11:16:13.584,15516.4069,1,Car,Success
Application_1003213123,2016-05-11 13:49:05.818,2016-05-20 12:21:47.296,12872.6913,0,Home improvement,Fail
Application_1003239424,2016-06-18 13:36:12.329,2016-07-22 08:00:48.130,48624.59668333333,0,"Other, see explanation",Fail
Application_1003257895,2016-04-30 12:21:09.349,2016-06-17 14:32:11.386,69251.03395,0,Unknown,Fail
Application_1003264681,2016-07-05 17:34:04.419,2016-07-22 16:17:27.680,24403.38768333333,1,Home improvement,Success
Application_1003291296,2016-11-10 21:47:32.075,2016-12-13 08:00:15.769,46692.728233333335,0,Car,Fail
Application_1003335792,2016-02-22 22:46:59.766,2016-03-26 08:13:57.726,46646.966,0,Car,Fail
Application_1003444518,2016-09-13 10:04:46.761,2016-11-10 09:02:23.329,83457.60946666666,0,Existing loan takeover,Fail
Application_1003445359,2016-09-20 16:54:44.210,2016-10-03 07:18:34.142,18143.8322,1,Existing loan takeover,Success
Application_1003568418,2016-06-01 21:55:34.269,2016-07-05 08:00:25.475,48124.85343333333,0,Existing loan takeover,Fail
Application_1003575962,2016-01-19 21:41:26.596,2016-02-23 08:00:43.233,49579.27728333334,0,Existing loan takeover,Fail
Application_1003594594,2016-07-13 15:56:48.751,2016-08-14 08:00:45.400,45603.94415,0,Home improvement,Fail
Application_1003634925,2016-02-08 13:15:54.757,2016-03-09 14:44:20.429,43288.427866666665,1,Car,Success
Application_1003639640,2016-01-26 12:31:07.592,2016-02-03 13:57:24.359,11606.27945,1,Home improvement,Success
